team_name,league_name,country_name
Beerschot AC,Belgium Jupiler League,Belgium
Club Brugge KV,Belgium Jupiler League,Belgium
FCV Dender EH,Belgium Jupiler League,Belgium
KAA Gent,Belgium Jupiler League,Belgium
KAS Eupen,Belgium Jupiler League,Belgium
KRC Genk,Belgium Jupiler League,Belgium
KSV Cercle Brugge,Belgium Jupiler League,Belgium
KSV Roeselare,Belgium Jupiler League,Belgium
KV Kortrijk,Belgium Jupiler League,Belgium
KV Mechelen,Belgium Jupiler League,Belgium
KV Oostende,Belgium Jupiler League,Belgium
KVC Westerlo,Belgium Jupiler League,Belgium
Lierse SK,Belgium Jupiler League,Belgium
Oud-Heverlee Leuven,Belgium Jupiler League,Belgium
RAEC Mons,Belgium Jupiler League,Belgium
RSC Anderlecht,Belgium Jupiler League,Belgium
Royal Excel Mouscron,Belgium Jupiler League,Belgium
SV Zulte-Waregem,Belgium Jupiler League,Belgium
Sint-Truidense VV,Belgium Jupiler League,Belgium
Sporting Charleroi,Belgium Jupiler League,Belgium
Sporting Lokeren,Belgium Jupiler League,Belgium
Standard de Liège,Belgium Jupiler League,Belgium
Tubize,Belgium Jupiler League,Belgium
Waasland-Beveren,Belgium Jupiler League,Belgium
Arsenal,England Premier League,England
Aston Villa,England Premier League,England
Birmingham City,England Premier League,England
Blackburn Rovers,England Premier League,England
Blackpool,England Premier League,England
Bolton Wanderers,England Premier League,England
Bournemouth,England Premier League,England
Burnley,England Premier League,England
Cardiff City,England Premier League,England
Chelsea,England Premier League,England
Crystal Palace,England Premier League,England
Everton,England Premier League,England
Fulham,England Premier League,England
Hull City,England Premier League,England
Leicester City,England Premier League,England
Liverpool,England Premier League,England
Manchester City,England Premier League,England
Manchester United,England Premier League,England
Middlesbrough,England Premier League,England
Newcastle United,England Premier League,England
Norwich City,England Premier League,England
Portsmouth,England Premier League,England
Queens Park Rangers,England Premier League,England
Reading,England Premier League,England
Southampton,England Premier League,England
Stoke City,England Premier League,England
Sunderland,England Premier League,England
Swansea City,England Premier League,England
Tottenham Hotspur,England Premier League,England
Watford,England Premier League,England
West Bromwich Albion,England Premier League,England
West Ham United,England Premier League,England
Wigan Athletic,England Premier League,England
Wolverhampton Wanderers,England Premier League,England
AC Ajaccio,France Ligue 1,France
AC Arles-Avignon,France Ligue 1,France
AJ Auxerre,France Ligue 1,France
AS Monaco,France Ligue 1,France
AS Nancy-Lorraine,France Ligue 1,France
