team_name,team_api_id,league_name,league_id,country_name,country_id
Beerschot AC,9993,Belgium Jupiler League,2,Belgium,1
Club Brugge KV,8342,Belgium Jupiler League,12,Belgium,1
FCV Dender EH,7947,Belgium Jupiler League,9,Belgium,1
KAA Gent,9991,Belgium Jupiler League,7,Belgium,1
KAS Eupen,6351,Belgium Jupiler League,1042,Belgium,1
KRC Genk,9987,Belgium Jupiler League,1,Belgium,1
KSV Cercle Brugge,9984,Belgium Jupiler League,5,Belgium,1
KSV Roeselare,9999,Belgium Jupiler League,13,Belgium,1
KV Kortrijk,8571,Belgium Jupiler League,14,Belgium,1
KV Mechelen,8203,Belgium Jupiler League,11,Belgium,1
KV Oostende,8573,Belgium Jupiler League,2476,Belgium,1
KVC Westerlo,10001,Belgium Jupiler League,17,Belgium,1
Lierse SK,9989,Belgium Jupiler League,1034,Belgium,1
Oud-Heverlee Leuven,1773,Belgium Jupiler League,1513,Belgium,1
RAEC Mons,9998,Belgium Jupiler League,8,Belgium,1
RSC Anderlecht,8635,Belgium Jupiler League,6,Belgium,1
Royal Excel Mouscron,9996,Belgium Jupiler League,16,Belgium,1
Royal Excel Mouscron,274581,Belgium Jupiler League,2510,Belgium,1
SV Zulte-Waregem,10000,Belgium Jupiler League,3,Belgium,1
Sint-Truidense VV,9997,Belgium Jupiler League,614,Belgium,1
Sporting Charleroi,9986,Belgium Jupiler League,18,Belgium,1
Sporting Lokeren,9994,Belgium Jupiler League,4,Belgium,1
Standard de Liège,9985,Belgium Jupiler League,10,Belgium,1
Tubize,4049,Belgium Jupiler League,15,Belgium,1
Waasland-Beveren,8475,Belgium Jupiler League,2004,Belgium,1
Arsenal,9825,England Premier League,3459,England,1729
Aston Villa,10252,England Premier League,3465,England,1729
Birmingham City,8658,England Premier League,4218,England,1729
Blackburn Rovers,8655,England Premier League,3468,England,1729
Blackpool,8483,England Premier League,4996,England,1729
Bolton Wanderers,8559,England Premier League,3471,England,1729
Bournemouth,8678,England Premier League,8779,England,1729
Burnley,8191,England Premier League,4234,England,1729
Cardiff City,8344,England Premier League,7276,England,1729
Chelsea,8455,England Premier League,3475,England,1729
Crystal Palace,9826,England Premier League,7261,England,1729
Everton,8668,England Premier League,3467,England,1729
Fulham,9879,England Premier League,3474,England,1729
Hull City,8667,England Premier League,3473,England,1729
Leicester City,8197,England Premier League,8021,England,1729
Liverpool,8650,England Premier League,3462,England,1729
Manchester City,8456,England Premier League,3466,England,1729
Manchester United,10260,England Premier League,3457,England,1729
